AREA,SITE_ID,SITE_NAME,SURVEY_ID,EVENT_DATE,EVENT_DATE_YEAR,SAMPLE_CODE,SURVEY_RANKED_NGR,SURVEY_RANKED_EASTING,SURVEY_RANKED_NORTHING,SURVEY_LENGTH,SURVEY_WIDTH,SURVEY_AREA,FISHED_WIDTH,FISHED_AREA,SURVEY_METHOD,SURVEY_STRATEGY,NO_OF_RUNS,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_NAME,LATIN_NAME,RUN1,RUN2,RUN3,RUN4,RUN5,RUN6,ALL_RUNS,SPCSNO,SPCSNO_SE,SPCSPV,SPCSPV_SE,OBSERVED_ABUNDANCE,ZERO_CATCH,SURVEY_STATUS,IS_THIRD_PARTY,IS_SPECIES_SELECTIVE,SURVEY_INSERT_DATE
Dart,9216,Postbridge (Stannon) (5 min),163668,12/09/2023,2023,,SX6482078990,264820,78990,50,2.47,123.5,2.47,123.5,ELECTRIC FISHING,CATCH PUE/T SAMPLE,1,732436,283,Bullhead,Cottus gobio,2,,,,,,2,,,,,,No,Completed,No,No,24/10/2023
Dart,9217,Runnage (Te),148703,25/07/2016,2016,,SX6687178796,266871,78796,57,3.24,184.68,3.24,184.68,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,650074,111,Brown / sea trout,Salmo trutta,107,,,,,,107,,,,,,No,Completed,No,No,29/07/2016
Dart,9217,Runnage (Te),148703,25/07/2016,2016,,SX6687178796,266871,78796,57,3.24,184.68,3.24,184.68,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,650075,242,European eels > elvers,Anguilla anguilla,2,,,,,,2,,,,,,No,Completed,No,No,29/07/2016
Dart,9217,Runnage (Te),152904,10/07/2018,2018,,SX6687178796,266871,78796,69,3.1,213.9,3.1,213.9,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,678392,242,European eels > elvers,Anguilla anguilla,2,,,,,,2,,,,,,No,Completed,No,No,26/07/2018
Dart,9217,Runnage (Te),152904,10/07/2018,2018,,SX6687178796,266871,78796,69,3.1,213.9,3.1,213.9,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,678393,111,Brown / sea trout,Salmo trutta,133,,,,,,133,,,,,,No,Completed,No,No,26/07/2018
Dart,9217,Runnage (Te),154944,29/07/2019,2019,,SX6687178796,266871,78796,51,2.59,132.09,2.59,132.09,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,691652,111,Brown / sea trout,Salmo trutta,149,,,,,,149,,,,,,No,Completed,No,No,30/07/2019
Dart,9217,Runnage (Te),159938,05/07/2021,2021,,SX6687178796,266871,78796,65,3.36,218.4,3.36,218.4,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,707695,111,Brown / sea trout,Salmo trutta,157,,,,,,157,,,,,,No,Completed,No,No,08/07/2021
Dart,9217,Runnage (Te),159938,05/07/2021,2021,,SX6687178796,266871,78796,65,3.36,218.4,3.36,218.4,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,707696,242,European eels > elvers,Anguilla anguilla,2,,,,,,2,,,,,,No,Completed,No,No,08/07/2021
Dart,9217,Runnage (Te),161164,01/07/2022,2022,,SX6687178796,266871,78796,70,3.13,219.1,3.13,219.1,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,717748,111,Brown / sea trout,Salmo trutta,138,,,,,,138,,,,,,No,Completed,No,No,18/07/2022
Dart,9217,Runnage (Te),161164,01/07/2022,2022,,SX6687178796,266871,78796,70,3.13,219.1,3.13,219.1,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,717749,242,European eels > elvers,Anguilla anguilla,1,,,,,,1,,,,,,No,Completed,No,No,18/07/2022
