AREA,SITE_ID,SITE_NAME,SURVEY_ID,EVENT_DATE,EVENT_DATE_YEAR,SAMPLE_CODE,SURVEY_RANKED_NGR,SURVEY_RANKED_EASTING,SURVEY_RANKED_NORTHING,SURVEY_LENGTH,SURVEY_WIDTH,SURVEY_AREA,FISHED_WIDTH,FISHED_AREA,SURVEY_METHOD,SURVEY_STRATEGY,NO_OF_RUNS,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_NAME,LATIN_NAME,RUN1,RUN2,RUN3,RUN4,RUN5,RUN6,ALL_RUNS,SPCSNO,SPCSNO_SE,SPCSPV,SPCSPV_SE,OBSERVED_ABUNDANCE,ZERO_CATCH,SURVEY_STATUS,IS_THIRD_PARTY,IS_SPECIES_SELECTIVE,SURVEY_INSERT_DATE
Teign,9244,Leigh Bridge (Te),145989,20/08/2015,2015,,SX6830087630,268300,87630,50,6.44,322,6.44,322,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,632505,111,Brown / sea trout,Salmo trutta,48,,,,,,48,,,,,,No,Completed,No,No,20/08/2015
Teign,9244,Leigh Bridge (Te),145989,20/08/2015,2015,,SX6830087630,268300,87630,50,6.44,322,6.44,322,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,632506,242,European eels > elvers,Anguilla anguilla,1,,,,,,1,,,,,,No,Completed,No,No,20/08/2015
Teign,9244,Leigh Bridge (Te),151364,14/08/2017,2017,,SX6830087630,268300,87630,60,6.1,366,6.1,366,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,667903,118,Atlantic salmon,Salmo salar,57,,,,,,57,,,,,,No,Completed,No,No,31/08/2017
Teign,9244,Leigh Bridge (Te),151364,14/08/2017,2017,,SX6830087630,268300,87630,60,6.1,366,6.1,366,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,667904,111,Brown / sea trout,Salmo trutta,84,,,,,,84,,,,,,No,Completed,No,No,31/08/2017
Teign,9244,Leigh Bridge (Te),155035,07/08/2019,2019,,SX6830087630,268300,87630,45,6.2,279,6.2,279,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,692400,118,Atlantic salmon,Salmo salar,35,,,,,,35,,,,,,No,Completed,No,No,09/08/2019
Teign,9244,Leigh Bridge (Te),155035,07/08/2019,2019,,SX6830087630,268300,87630,45,6.2,279,6.2,279,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,692401,111,Brown / sea trout,Salmo trutta,68,,,,,,68,,,,,,No,Completed,No,No,09/08/2019
Teign,9244,Leigh Bridge (Te),155035,07/08/2019,2019,,SX6830087630,268300,87630,45,6.2,279,6.2,279,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,692402,286,Stone loach,Barbatula barbatula,1,,,,,,1,,,,,,No,Completed,No,No,09/08/2019
Teign,9244,Leigh Bridge (Te),164010,17/08/2023,2023,,SX6830087630,268300,87630,50,6.13,306.5,6.13,306.5,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,734350,118,Atlantic salmon,Salmo salar,19,,,,,,19,,,,,,No,Completed,No,No,15/11/2023
Teign,9244,Leigh Bridge (Te),164010,17/08/2023,2023,,SX6830087630,268300,87630,50,6.13,306.5,6.13,306.5,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,734351,111,Brown / sea trout,Salmo trutta,36,,,,,,36,,,,,,No,Completed,No,No,15/11/2023
Teign,9244,Leigh Bridge (Te),164010,17/08/2023,2023,,SX6830087630,268300,87630,50,6.13,306.5,6.13,306.5,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,734352,286,Stone loach,Barbatula barbatula,2,,,,,,2,,,,,,No,Completed,No,No,15/11/2023
Teign,9245,Highbury (Te/WFD),148885,10/08/2016,2016,,SX6784088450,267840,88450,90,5.26,473.4,5.26,473.4,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,650967,118,Atlantic salmon,Salmo salar,68,,,,,,68,,,,,,No,Completed,No,No,11/08/2016
Teign,9245,Highbury (Te/WFD),148885,10/08/2016,2016,,SX6784088450,267840,88450,90,5.26,473.4,5.26,473.4,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,650968,111,Brown / sea trout,Salmo trutta,114,,,,,,114,,,,,,No,Completed,No,No,11/08/2016
Teign,9245,Highbury (Te/WFD),153018,03/08/2018,2018,,SX6784088450,267840,88450,37,4.48,165.76,4.48,165.76,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,678480,242,European eels > elvers,Anguilla anguilla,1,,,,,,1,,,,,,No,Completed,No,No,10/08/2018
Teign,9245,Highbury (Te/WFD),153018,03/08/2018,2018,,SX6784088450,267840,88450,37,4.48,165.76,4.48,165.76,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,678481,118,Atlantic salmon,Salmo salar,30,,,,,,30,,,,,,No,Completed,No,No,10/08/2018
Teign,9245,Highbury (Te/WFD),153018,03/08/2018,2018,,SX6784088450,267840,88450,37,4.48,165.76,4.48,165.76,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,678482,111,Brown / sea trout,Salmo trutta,48,,,,,,48,,,,,,No,Completed,No,No,10/08/2018
Teign,9245,Highbury (Te/WFD),154773,11/07/2019,2019,,SX6784088450,267840,88450,79,4.95,391.05,4.95,391.05,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,690416,118,Atlantic salmon,Salmo salar,49,,,,,,49,,,,,,No,Completed,No,No,15/07/2019
Teign,9245,Highbury (Te/WFD),154773,11/07/2019,2019,,SX6784088450,267840,88450,79,4.95,391.05,4.95,391.05,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,690417,111,Brown / sea trout,Salmo trutta,108,,,,,,108,,,,,,No,Completed,No,No,15/07/2019
Teign,9245,Highbury (Te/WFD),154773,11/07/2019,2019,,SX6784088450,267840,88450,79,4.95,391.05,4.95,391.05,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,690418,242,European eels > elvers,Anguilla anguilla,1,,,,,,1,,,,,,No,Completed,No,No,15/07/2019
Teign,9245,Highbury (Te/WFD),161779,18/08/2022,2022,,SX6784088450,267840,88450,46,5.15,236.9,5.15,236.9,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,721374,118,Atlantic salmon,Salmo salar,64,,,,,,64,,,,,,No,Completed,No,No,01/11/2022
Teign,9245,Highbury (Te/WFD),161779,18/08/2022,2022,,SX6784088450,267840,88450,46,5.15,236.9,5.15,236.9,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,721375,111,Brown / sea trout,Salmo trutta,63,,,,,,63,,,,,,No,Completed,No,No,01/11/2022
Teign,9245,Highbury (Te/WFD),167893,06/08/2024,2024,,SX6784088450,267840,88450,49,5.63,275.87,5.63,275.87,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,746341,118,Atlantic salmon,Salmo salar,24,,,,,,24,,,,,,No,Completed,No,No,01/11/2024
Teign,9245,Highbury (Te/WFD),167893,06/08/2024,2024,,SX6784088450,267840,88450,49,5.63,275.87,5.63,275.87,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,746342,111,Brown / sea trout,Salmo trutta,57,,,,,,57,,,,,,No,Completed,No,No,01/11/2024
Teign,9245,Highbury (Te/WFD),167893,06/08/2024,2024,,SX6784088450,267840,88450,49,5.63,275.87,5.63,275.87,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,746343,242,European eels > elvers,Anguilla anguilla,1,,,,,,1,,,,,,No,Completed,No,No,01/11/2024
Teign,9246,Wormhill Bridge (Te/WFD),146022,21/08/2015,2015,,SX7265084500,272650,84500,65,5.64,366.6,5.64,366.6,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,632598,111,Brown / sea trout,Salmo trutta,209,,,,,,209,,,,,,No,Completed,No,No,21/08/2015
Teign,9246,Wormhill Bridge (Te/WFD),151078,25/07/2017,2017,,SX7265084500,272650,84500,63,5.32,335.16,5.32,335.16,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,666214,111,Brown / sea trout,Salmo trutta,176,,,,,,176,,,,,,No,Completed,No,No,31/07/2017
Teign,9246,Wormhill Bridge (Te/WFD),155372,31/07/2019,2019,,SX7265084500,272650,84500,57,5.23,298.11,5.23,298.11,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,696232,111,Brown / sea trout,Salmo trutta,190,,,,,,190,,,,,,No,Completed,No,No,17/09/2019
Teign,9246,Wormhill Bridge (Te/WFD),163291,01/09/2023,2023,,SX7265084500,272650,84500,64,3.94,252.16,3.94,252.16,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,730441,111,Brown / sea trout,Salmo trutta,158,,,,,,158,,,,,,No,Completed,No,No,20/09/2023
Teign,9246,Wormhill Bridge (Te/WFD),163291,01/09/2023,2023,,SX7265084500,272650,84500,64,3.94,252.16,3.94,252.16,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,730443,242,European eels > elvers,Anguilla anguilla,1,,,,,,1,,,,,,No,Completed,No,No,20/09/2023
Teign,9325,Teign-Ever (Sp),154772,12/07/2019,2019,,SX6529087010,265290,87010,70,4.83,338.1,4.83,338.1,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,690414,111,Brown / sea trout,Salmo trutta,91,,,,,,91,,,,,,No,Completed,No,No,15/07/2019
Teign,9325,Teign-Ever (Sp),154772,12/07/2019,2019,,SX6529087010,265290,87010,70,4.83,338.1,4.83,338.1,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,690415,242,European eels > elvers,Anguilla anguilla,2,,,,,,2,,,,,,No,Completed,No,No,15/07/2019
Teign,9325,Teign-Ever (Sp),160544,25/08/2021,2021,,SX6529087010,265290,87010,60,4.22,253.2,4.22,253.2,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,712037,242,European eels > elvers,Anguilla anguilla,2,1,0,,,,3,3,0.265908,0.75,0.265908,,No,Completed,No,No,03/11/2021
